location,date,aqi
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-03-04,140.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-03-03,142.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-03-02,98.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-03-01,142.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-28,175.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-27,173.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-26,154.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-25,117.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-24,102.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-23,133.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-22,104.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-21,92.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-20,124.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-19,154.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-18,95.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-17,130.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-16,152.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-15,187.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-14,186.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-13,200.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-12,177.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-11,88.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-09,116.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-08,62.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-06,76.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-04,167.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-03,122.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-02,119.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-02-01,123.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-01-31,121.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-01-30,122.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-01-29,100.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-01-28,181.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-01-27,191.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-01-26,192.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-01-25,236.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-01-24,238.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-01-23,266.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-01-22,201.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-01-21,172.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-01-20,159.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-01-19,104.0
"Received the Hongqiao Community in Jia County, Jiaxian County, Xinxiang",2021-01-18,88.0
