0,1,2
Afghanistan,1968,1.223
Albania,1968,3.07
Algeria,1968,9.05
Angola,1968,1.67
Antigua and Barbuda,1968,0.989
Argentina,1968,69.009
Armenia,1968,4.911
Aruba,1968,0.635
Australia,1968,134.497
Austria,1968,42.297
Azerbaijan,1968,28.464
Bahamas,1968,1.628
Bahrain,1968,1.103
Bangladesh,1968,3.866
Barbados,1968,0.44
Belarus,1968,59.721
Belgium,1968,118.438
Belize,1968,0.103
Benin,1968,0.154
Bermuda,1968,0.224
Bolivia,1968,2.176
Bonaire Sint Eustatius and Saba,1968,0.488
Bosnia and Herzegovina,1968,7.857
Brazil,1968,77.329
British Virgin Islands,1968,0.015
Brunei,1968,0.429
Bulgaria,1968,59.464
Burkina Faso,1968,0.103
Burundi,1968,0.055
Cambodia,1968,0.462
Cameroon,1968,0.506
Canada,1968,303.261
Cape Verde,1968,0.029
Central African Republic,1968,0.183
Chad,1968,0.125
Chile,1968,21.202
China,1968,495.507
Colombia,1968,26.573
Comoros,1968,0.018
Congo,1968,0.451
Costa Rica,1968,1.036
Cote d'Ivoire,1968,1.598
Croatia,1968,8.503
Cuba,1968,16.02
Curacao,1968,9.155
Cyprus,1968,1.622
Czechia,1968,126.88
Democratic Republic of Congo,1968,3.366
Denmark,1968,53.273
Djibouti,1968,0.121
Dominica,1968,0.022
Dominican Republic,1968,2.347
Ecuador,1968,3.113
Egypt,1968,22.873
El Salvador,1968,1.26
Equatorial Guinea,1968,0.029
Eritrea,1968,
Estonia,1968,21.681
Eswatini,1968,0.278
Ethiopia,1968,1.725
Faroe Islands,1968,0.183
Fiji,1968,0.396
Finland,1968,33.281
France,1968,416.951
French Equatorial Africa,1968,
French Guiana,1968,0.084
French Polynesia,1968,0.154
French West Africa,1968,
Gabon,1968,1.96
Gambia,1968,0.037
Georgia,1968,8.797
Germany,1968,984.791
Ghana,1968,1.761
Greece,1968,22.286
Greenland,1968,0.542
Grenada,1968,0.04
Guadeloupe,1968,0.278
Guatemala,1968,2.139
Guinea,1968,0.747
Guinea-Bissau,1968,0.062
Guyana,1968,1.33
Haiti,1968,0.264
Honduras,1968,1.223
Hong Kong,1968,6.198
Hungary,1968,61.093
Iceland,1968,1.593
India,1968,174.246
Indonesia,1968,27.563
Iran,1968,82.33
Iraq,1968,19.696
Ireland,1968,17.802
Israel,1968,13.794
Italy,1968,249.172
Jamaica,1968,3.879
Japan,1968,561.913
Jordan,1968,1.504
Kazakhstan,1968,143.019
Kenya,1968,2.815
Kiribati,1968,0.033
Kuwait,1968,23.149
Kyrgyzstan,1968,12.664
Laos,1968,0.169
Latvia,1968,14.326
Lebanon,1968,3.693
Leeward Islands,1968,
Liberia,1968,0.883
Libya,1968,30.114
Lithuania,1968,22.193
Luxembourg,1968,12.259
Macao,1968,0.169
Madagascar,1968,0.912
Malawi,1968,0.388
Malaysia,1968,10.53
Mali,1968,0.198
Malta,1968,0.638
Martinique,1968,0.308
Mauritania,1968,0.234
Mauritius,1968,0.638
Mexico,1968,93.887
Moldova,1968,23.328
Mongolia,1968,2.48
Montenegro,1968,0.775
Montserrat,1968,0.007
Morocco,1968,5.62
Mozambique,1968,2.776
Myanmar,1968,2.927
Nauru,1968,0.048
Nepal,1968,0.253
Netherlands,1968,113.446
New Caledonia,1968,1.839
New Zealand,1968,13.473
Nicaragua,1968,1.231
Niger,1968,0.161
Nigeria,1968,6.626
North Korea,1968,59.269
North Macedonia,1968,5.742
Norway,1968,21.114
Oman,1968,0.161
Pakistan,1968,20.842
Palau,1968,0.077
Panama,1968,2.018
Papua New Guinea,1968,0.502
Paraguay,1968,0.59
Peru,1968,14.487
Philippines,1968,22.223
Poland,1968,275.801
Portugal,1968,12.992
Puerto Rico,1968,
Qatar,1968,7.075
Reunion,1968,0.216
Romania,1968,100.079
Russia,1968,1312.75
Rwanda,1968,0.055
Ryukyu Islands,1968,0.772
Saint Helena,1968,0.004
Saint Lucia,1968,0.037
Saint Pierre and Miquelon,1968,0.04
Saint Vincent and the Grenadines,1968,0.022
Samoa,1968,0.029
Sao Tome and Principe,1968,0.015
Saudi Arabia,1968,29.079
Senegal,1968,0.098
Serbia,1968,22.856
Seychelles,1968,0.007
Sierra Leone,1968,0.363
Singapore,1968,5.133
Sint Maarten,1968,1.092
Slovakia,1968,40.525
Slovenia,1968,6.483
Solomon Islands,1968,0.037
Somalia,1968,0.154
South Africa,1968,137.954
South Korea,1968,37.197
South Sudan,1968,0.258
Spain,1968,97.017
Sri Lanka,1968,3.238
St. Kitts-Nevis-Anguilla,1968,0.033
Sudan,1968,2.845
Suriname,1968,1.451
Sweden,1968,77.606
Switzerland,1968,35.981
Syria,1968,5.954
Taiwan,1968,24.141
Tajikistan,1968,7.319
Tanzania,1968,1.652
Thailand,1968,17.076
Togo,1968,0.194
Tonga,1968,0.015
Trinidad and Tobago,1968,4.037
Tunisia,1968,3.592
Turkey,1968,36.265
Turkmenistan,1968,18.086
Uganda,1968,0.981
Ukraine,1968,415.91
United Arab Emirates,1968,1.242
United Kingdom,1968,606.488
United States,1968,3840.702
Uruguay,1968,4.878
Uzbekistan,1968,57.794
Vanuatu,1968,0.062
Venezuela,1968,65.572
Vietnam,1968,23.601
Yemen,1968,11.637
Zambia,1968,4.568
Zimbabwe,1968,6.378
