lat,lon,co2
40.7696272,44.6736646,0.001
47.59397,14.12456,7.244
40.3936294,47.7872508,0.006
53.4250605,27.6971358,0.013
50.6402809,4.6667145,14.451
61.0666922,-107.991707,0.264
55.670249,10.3333283,0.491
58.7523778,25.3319078,0.005
46.603354,1.8883335,34.595
32.3293809,-83.1137366,0.002
51.1638175,10.4478313,35.61
47.1817585,19.5060937,0.381
22.3511148,78.6677428,0.395
52.865196,-7.9794599,
48.1012954,66.7780818,0.032
41.5089324,74.724091,0.003
56.8406494,24.7537645,0.003
55.3500003,23.7499997,0.005
47.2879608,28.5670941,0.005
52.2434979,5.6343227,3.708
60.5000209,9.0999715,0.267
52.215933,19.134422,7.705
45.9852129,24.6859225,0.004
64.6863136,97.7453061,0.295
39.3260685,-4.8379791,1.15
59.6749712,14.5208584,0.513
46.7985624,8.2319736,0.147
38.6281733,70.8156541,0.002
39.3763807,59.3924609,0.004
49.4871968,31.2718321,0.094
54.7023545,-3.2765753,135.114
39.7837304,-100.445882,41.649
41.32373,63.9528098,0.013
