lat,lon,co2
-34.9964963,-64.9672817,2.92
40.7696272,44.6736646,0.152
-24.7761086,134.755,5.785
47.59397,14.12456,24.816
40.3936294,47.7872508,0.881
53.4250605,27.6971358,1.842
50.6402809,4.6667145,47.126
44.3053476,17.5961467,0.089
42.6073975,25.4856617,0.147
61.0666922,-107.991707,19.17
-31.7613365,-71.3187697,0.634
35.000074,104.999927,0.095
45.5643442,17.0118954,0.096
49.7439047,15.3381061,33.968
55.670249,10.3333283,5.251
58.7523778,25.3319078,0.668
63.2467777,25.9209164,0.736
46.603354,1.8883335,120.3
32.3293809,-83.1137366,0.273
51.1638175,10.4478313,303.284
38.9953683,21.9877132,0.242
47.1817585,19.5060937,8.273
22.3511148,78.6677428,10.067
-2.4833826,117.8902853,1.125
52.865196,-7.9794599,
42.6384261,12.674297,13.59
36.5748441,139.2394179,17.272
48.1012954,66.7780818,4.398
41.5089324,74.724091,0.389
56.8406494,24.7537645,0.441
55.3500003,23.7499997,0.689
4.5693754,102.2656823,0.121
23.6585116,-102.0077097,0.755
47.2879608,28.5670941,0.713
42.9868853,19.5180992,0.009
52.2434979,5.6343227,13.278
-41.5000831,172.8344077,2.176
41.6171214,21.7168387,0.065
60.5000209,9.0999715,4.049
-6.8699697,-75.0458515,0.161
52.215933,19.134422,61.918
39.6621648,-8.1353519,2.143
45.9852129,24.6859225,1.612
64.6863136,97.7453061,40.515
44.1534121,20.55144,0.258
48.7411522,19.4528646,10.924
45.8133113,14.4808369,0.073
-28.8166236,24.991639,5.518
39.3260685,-4.8379791,10.626
59.6749712,14.5208584,9.134
46.7985624,8.2319736,5.122
23.9739374,120.9820179,0.081
38.6281733,70.8156541,0.226
38.9597594,34.9249653,0.671
39.3763807,59.3924609,0.561
49.4871968,31.2718321,12.856
54.7023545,-3.2765753,414.552
39.7837304,-100.445882,625.534
41.32373,63.9528098,1.802
15.9266657,107.9650855,0.733
